,Training,Generalization
0,0.6473977695167287,0.7979197622585439
1,0.7680297397769517,0.7912332838038633
2,0.7960966542750929,0.8380386329866271
3,0.8223048327137547,0.8640416047548292
4,0.8403345724907063,0.8603268945022289
5,0.8518587360594796,0.8424962852897474
6,0.8618959107806692,0.8655274888558693
7,0.8754646840148699,0.8588410104011887
8,0.8797397769516728,0.8959881129271917
9,0.8884758364312267,0.9041604754829123
10,0.9035315985130111,0.8848439821693908
11,0.9124535315985131,0.9034175334323923
12,0.920817843866171,0.9182763744427934
13,0.9139405204460966,0.8952451708766717
14,0.9271375464684015,0.9086181277860327
15,0.9301115241635688,0.9011887072808321
16,0.9286245353159851,0.9301634472511144
17,0.9213754646840149,0.924962852897474
18,0.9420074349442379,0.9294205052005944
19,0.9429368029739778,0.9279346210995543
